,review_date,review_rating,review_text,verified_purchase,review_time,review_textlength,helpful_review
30,1/3/2019,5,Absolutely love this stuff ... leaves a lovely lingering fragrance that you can smell each time you open a wardrobe or clothes drawer ... gets everything clean really well too Reminds me of when I was a kid and Mum just put me in some freshly laundered clothes ... lovely,True,2019-01-03 06:39:00,271,2
31,1/4/2019,5,Very happy with it,True,2019-01-04 23:46:00,18,1
32,1/28/2019,5,I love that I now wash my cashmere sweaters at home. Saves me a lot of money compared to taking my clothes to the dry-cleaners every week. Very happy with my purchase,True,2019-01-28 14:54:00,166,1
33,1/28/2019,5,So prior to receiving this I had pretty rough elbows in particular and my skin feels dry. As a busy mum of two I admit I sometimes neglect myself.. some of you may empathise! But this product trial gave me the perfect opportunity to reconnect with myself and have a bit of \u201Cme time\u201D. So for 3 days after my baths / shower I smothered myself with this. I must admit the first time I put this on I wasn\u2019t sure about the smell. It\u2019s not offensive it\u2019s like a cucumber smell (although it\u2019s aloe) but I tend to smell of perfumes all the time.. however by day 3 I actually liked the smell. Application: it went on nicely not too thick and soaked in pretty quickly it didn\u2019t feel sticky. I always have my morning wash by 07:30 but even in the evening before bedtime my skin is feeling noticibly softer and my rough elbows gone. Verdict: thumbs up. Yes I will be continuing to use this thank you for a fab product trial and for introducing me to Vaseline Aloe! [This review was collected as part of a promotion.],False,2019-01-28 07:35:00,1039,5
34,1/14/2019,5,Happy with item,True,2019-01-14 00:48:00,15,1
35,1/1/2019,5,"I really like this. The texture is almost like a gel so it's really light and easily absorbed into my skin, leaving it feel soft and fresh, without any of the weight that some thicker creams have.I would buy it again. [This review was collected as part of a promotion.]",False,2019-01-01 03:14:00,269,2
36,1/30/2019,5,Smells nice,True,2019-01-30 11:01:00,11,1
37,1/1/2019,5,A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,True,2019-01-01 03:15:00,119,0
38,1/14/2019,5,Happy with item,True,2019-01-14 15:33:00,15,2
39,1/1/2019,5,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True,2019-01-01 07:21:00,202,0
40,1/2/2019,5,Great value,True,2019-01-02 06:20:00,11,1
41,1/4/2019,5,Love this comfort,True,2019-01-04 05:29:00,17,1
42,1/1/2019,1,Horrible.,False,2019-01-01 18:56:00,9,3
43,1/2/2019,5,a great buy,True,2019-01-02 18:20:00,11,4
44,1/4/2019,3,"Love the container, easy to pour, but am refilling with A. Nother automatic liquid in future as it is very thick and gloopy (hard to be economical) and it is so scented you smell like it when wearing what you washed (which some may love but I do not!) -after 3 rinses!",True,2019-01-04 13:47:00,268,2
45,1/8/2019,5,Washes sharks well,True,2019-01-08 08:55:00,18,2
46,1/27/2019,5,excellent,True,2019-01-27 09:34:00,9,0
47,1/6/2019,5,Thank you Im very happy,True,2019-01-06 05:34:00,24,4
48,1/2/2019,5,Good pleasant smelling deoderant boys will love it at christmas.,True,2019-01-02 05:52:00,64,0
49,1/2/2019,4,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,True,2019-01-02 06:44:00,90,0
50,1/2/2019,5,"Have used a lot of make-up brands and in the past bought their more expensive make-up remover products, but none have ever removed mascara, eye-shadow, foundation bases etc as gently and as well as Simple Cleansing Lotion. Its consistency is not runny, you have to squeeze the bottle appropriately onto the cotton wool, which is ideal for controlling how much is dispensed. Also great for tidying up eyeliner or mascara errors when applied sparsely on a cotton wool bud. Always keep this now in my bathroom cabinet. Why pay more?",False,2019-01-02 21:06:00,529,0
51,1/2/2019,5,not sure why the big jar costs more than double this size though!,False,2019-01-02 01:15:00,65,0
52,1/2/2019,5,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",True,2019-01-02 21:13:00,134,1
53,1/2/2019,5,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",True,2019-01-02 04:46:00,110,4
54,1/1/2019,5,"Great buy, smells gorgeous",True,2019-01-01 08:02:00,26,1
55,1/2/2019,5,"Got this on offer for £6, clothes come out very soft, and smelling great. and It should last a long time too, its 100% genuine as well",True,2019-01-02 00:20:00,134,2
56,1/1/2019,5,"Great buy, smells gorgeous",True,2019-01-01 06:59:00,26,3
57,1/2/2019,5,"For £6 this is an amazing buy- lasted me months!, smelt amazing and my neighbour even asked me to buy her one!",True,2019-01-02 09:57:00,110,1
58,1/2/2019,5,Texture liked.used for bath/shower,True,2019-01-02 06:18:00,34,0
59,1/14/2019,5,shared with family,True,2019-01-14 11:28:00,18,4
60,1/6/2019,5,We love it and even better when its on a deal,True,2019-01-06 13:18:00,46,4
61,1/4/2019,5,Great product!,True,2019-01-04 05:44:00,14,3
62,1/1/2019,4,"Bought items to give as gifts, it was advertised as Dove Moisturising Deeply Nourishing Body Wash but I received Dove idratante bagnodoccia di belleza, a language I cannot read. Even has a less distinct fragrance.",True,2019-01-01 16:12:00,213,2
63,1/2/2019,5,Good pleasant smelling deoderant boys will love it at christmas.,True,2019-01-02 23:36:00,64,5
64,1/2/2019,4,"Good price and nice smell, not overpowering. Doesnt leave white powdery mess like some anti perspirents do. Happy.",True,2019-01-02 00:03:00,115,1
65,1/1/2019,5,A great deal on treseme shampoo giving a long lasting supply so you dont need to keep buying more and very good price.,True,2019-01-01 05:21:00,119,4
66,1/2/2019,4,delivered quickly and decent shampoo. only 4 star as one bottle was leaking when delivered,True,2019-01-02 18:05:00,90,4
67,1/1/2019,5,"Good wipes, good buy",True,2019-01-01 13:32:00,20,1
68,1/2/2019,5,"Three gigantic marmite jars that will last probably a whole life! What else would you possibly wish for? Order came in time, when mentioned, safely packed. Very happy with it.",True,2019-01-02 01:25:00,175,4
69,1/2/2019,5,a great buy,True,2019-01-02 06:17:00,11,0
70,1/1/2019,5,Nice fragrance and it seems to last on the clothes.,True,2019-01-01 06:38:00,51,0
71,1/1/2019,5,Nice fragrance and it seems to last on the clothes.,True,2019-01-01 09:56:00,51,0
72,1/1/2019,5,Nice fragrance and it seems to last on the clothes.,True,2019-01-01 03:44:00,51,1
73,1/1/2019,5,"As you get older, you know what you like and what is suitable for your body. I like all Dove products. Gives you that fresh all over, wide awake feeling and no dandruff or flakey skin. No smelly a/pits!",True,2019-01-01 06:03:00,202,2
74,1/2/2019,4,Excellent,True,2019-01-02 03:30:00,9,4
75,1/3/2019,5,"I've been Using tresemme products for years. Previously the regular heat protection but after being recommended this one for colour treated hair gave it a go and Ive not looked back! Leaves my hair with a lovely shine, ive got dyed red hair so it can be hard to keep looking healthy. Seems to do a Good job with heat protection too. I only dry my hair, no straighteners or tongs but seems to keep the damage away",False,2019-01-03 05:35:00,412,4
76,1/3/2019,5,So much cheaper than in Boots. Great value!!!,True,2019-01-03 04:09:00,45,0
77,1/3/2019,2,"I like the blue version but this is such an overpowering, awful smell it had to be binned.",False,2019-01-03 00:18:00,90,4
78,1/3/2019,5,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,2019-01-03 13:00:00,314,4
79,1/3/2019,5,Excellent value and you don't hav to carry it,True,2019-01-03 23:30:00,45,4
80,1/3/2019,5,Washing,True,2019-01-03 21:12:00,7,0
81,1/3/2019,5,Excellent value and you don't hav to carry it,True,2019-01-03 09:16:00,45,5
82,1/3/2019,5,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,2019-01-03 04:20:00,314,4
83,1/3/2019,5,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,2019-01-03 15:50:00,314,3
84,1/3/2019,5,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,2019-01-03 01:44:00,314,1
85,1/3/2019,5,Lovely fresh smell,True,2019-01-03 06:52:00,18,4
86,1/3/2019,5,great item,True,2019-01-03 18:53:00,10,4
87,1/3/2019,5,Whats not to like noodles that taste like spare ribs,True,2019-01-03 11:51:00,53,0
88,1/3/2019,5,"I like these, I use only one in the regular wash and everything comes clean. I'll use two if I load a 9kg wash or if I have a lot of white washing just to give an extra boost as the machine uses more water on these cycles. It's good value for money buying in a pack of three so these are a regular purchase for me.",True,2019-01-03 06:50:00,314,2
89,1/3/2019,5,So much cheaper than in Boots. Great value!!!,True,2019-01-03 06:29:00,45,2
90,1/3/2019,5,"This is a good deodorant if you have easily irritated skin. It's like Dove soap in that it doesn't seem to irritate or dry out skin. I've used Dove soaps for quite a long time and this is certainly something which they are good for, this seems to be as good as all of them. It's main selling point, beyond being an effective 24 hour deodorant, is that it is not prone to marking your clothes. It certainly seems to work as far as that goes too, though we haven't been able to test on every single colour. Good though. Recommended.",False,2019-01-03 13:25:00,530,0
91,1/3/2019,5,Washing,True,2019-01-03 04:28:00,7,2
92,1/3/2019,5,Great body wash. Cheap and fast delivery,True,2019-01-03 21:02:00,40,0
93,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 03:31:00,121,5
94,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 07:22:00,121,2
95,1/4/2019,1,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",True,2019-01-04 13:39:00,125,5
96,1/4/2019,5,Bought this for my step dad,True,2019-01-04 00:19:00,27,0
97,1/4/2019,5,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,True,2019-01-04 09:24:00,99,4
98,1/4/2019,5,Great gift,True,2019-01-04 06:05:00,10,2
99,1/4/2019,5,This is a classic and you know when its Hellmans Mayo. Cap stays so much cleaner than the jar. Tastes great with EVERYTHING!,False,2019-01-04 05:55:00,124,0
100,1/4/2019,5,Cool,True,2019-01-04 00:33:00,4,4
101,1/4/2019,5,Great product!,True,2019-01-04 00:08:00,14,4
102,1/4/2019,5,Absolutely great moistures for dry skin. Can complain. Its smells great of the skin if you like that coca butter smell.,True,2019-01-04 02:42:00,120,4
103,1/4/2019,5,Great package buy,True,2019-01-04 03:40:00,17,0
104,1/4/2019,5,Great gift,True,2019-01-04 17:48:00,10,1
105,1/4/2019,5,Love this on my OH. It smells so good on him but I hated it for years and still do on everyone else,True,2019-01-04 06:50:00,99,2
106,1/4/2019,5,Works well and truly invisible,True,2019-01-04 03:50:00,30,4
107,1/4/2019,1,"Not even worth one star. Bring out a lot of white stuff, had high expectations but this product is a total failure and waste.",True,2019-01-04 08:08:00,125,5
108,1/5/2019,3,Nice and cost effective,True,2019-01-05 04:19:00,23,2
109,1/5/2019,5,Great,True,2019-01-05 01:50:00,5,2
110,1/5/2019,5,Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,True,2019-01-05 21:49:00,144,0
111,1/16/2019,4,"This is my favourite scent from the intense range, smells lovely and lasts ages on my clothes. I do use more than the recommended amount otherwise the scent isnt very strong, so it definitely doesnt do 64 washes, probably half that.",False,2019-01-16 04:29:00,234,4
112,1/5/2019,5,I find these to be the best for my laundry and a part of that includes only using one - not over dosing like I do with liquid or powders. smells great and washes well.,False,2019-01-05 00:37:00,167,2
113,1/5/2019,5,And under 150 calories for a really big portion,False,2019-01-05 04:20:00,47,4
114,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 07:57:00,121,0
115,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 06:41:00,121,0
116,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 18:51:00,121,4
117,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 07:51:00,121,0
118,1/4/2019,1,"yet to try the taste but why, in this day and age, start producing what was perfect in glass bottles suddenly in plastic?",False,2019-01-04 03:01:00,121,0
119,1/6/2019,4,The cream is very easy to apply and feels extremly cooling. It doesnt dry with any kind of sticky feeling to it. There is very little or no scent to it so the fact the the frangrance is fairly neutral is good. The cream spread and soaks in very easily [This review was collected as part of a promotion.],False,2019-01-06 00:47:00,303,3
120,1/4/2019,5,"Execellent product, made my skin feel silky smooth and extremely hydrated. Used it for a couple of weeks and my skin felt healthier, more hydrated and overall looked better. Would definitely recommend this product to a friend. [This review was collected as part of a promotion.]",False,2019-01-04 04:56:00,278,2
121,1/5/2019,4,"This cream is light, odourless and leaves the skin feeling genuinely smooth, supple and refreshed. I use it as part of my nightly routine - applying it when going to bed after washing and drying my face. It is light enough not to clog the pores or feel sticky on the face, and in the morning my face always feels smooth and replenished. I have also tried using this cream during the daytime and, while it has all the benefits described above, it\u2019s not long-lasting enough in terms of the hydration it gives, meaning you often feel the need to reapply after a few hours. All in all a great overnight moisturiser if you have sensitive skin - it\u2019s unscented and it\u2019s really gentle on sore patches. [This review was collected as part of a promotion.]",False,2019-01-05 09:16:00,761,0
122,1/5/2019,5,Fresh and clean. Reliable delivery,True,2019-01-05 10:07:00,34,1
123,1/5/2019,5,Does exactly what it says my kitchen sink is always getting blocked and since I have put this down it has not been blocked for the last 2 months,True,2019-01-05 22:16:00,144,0
124,1/5/2019,5,Great,True,2019-01-05 14:51:00,5,4
125,1/5/2019,3,Nice and cost effective,True,2019-01-05 17:16:00,23,2
126,1/5/2019,5,"Great combination, started using when my now 3yo was born and am still using it",True,2019-01-05 06:54:00,79,1
127,1/5/2019,5,Nice and fresh smelling products,True,2019-01-05 23:21:00,32,4
128,1/5/2019,5,"We all crave things that transport us back to more innocent times. For me Bovril is one of those things, from the gooey unctuousness of the tar black bovril overflowing from the spoon to the ""ding ding ding"" as I stir it in hot water to make it dissolve and the earthy, beefy smell with hints of celery and goodness knows what else. Sometimes you can get alcohol fatigue so Bovril is a great alternative to a nightcap or even mug of tea. I even go so far as to dissolve a pat of butter in it too for extra richness and within an hour I'm pretty much knocked out and sleep soundly until morning, warm and comforted. This pack will last me a long time I am sure, certainly 2 winters.",True,2019-01-05 07:53:00,681,2
129,1/5/2019,5,"Lovely, but can be bought cheaper in home bargains !",True,2019-01-05 10:32:00,52,4
130,1/5/2019,1,Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,True,2019-01-05 00:54:00,124,1
131,1/5/2019,5,Good price.,True,2019-01-05 06:36:00,11,1
132,1/5/2019,1,Item was damaged and unable to pour without spillage.. have transferred to another bottle as unable to wait for replacement.,True,2019-01-05 10:10:00,124,2
133,1/5/2019,5,Good price.,True,2019-01-05 03:40:00,11,2
134,1/5/2019,5,"Lovely, but can be bought cheaper in home bargains !",True,2019-01-05 16:30:00,52,2
135,1/5/2019,5,It came very fast.,True,2019-01-05 08:00:00,18,4
136,1/5/2019,5,It came very fast.,True,2019-01-05 12:20:00,18,4
137,1/5/2019,5,It came very fast.,True,2019-01-05 17:19:00,18,4
138,1/5/2019,5,It came very fast.,True,2019-01-05 17:16:00,18,2
139,1/5/2019,5,It came very fast.,True,2019-01-05 07:25:00,18,0
140,1/6/2019,5,Hi Simple!This is my absolute must-have facial moisturiser and now I cannot find it in UK stores anywhere. Have you discontinued this product?! Please don't!,False,2019-01-06 20:38:00,157,0
141,1/6/2019,1,Please go back to the old capsules - these new ones make our household suffer a terrible allergic reaction - constant hay fever!,False,2019-01-06 10:55:00,128,3
142,1/6/2019,4,Never usually use laundry softener but was very pleasantly surprised by the results with this product. Clothes smelt great and the smell lasted despite the childrens best efforts! And the clothes came out much softer. Think I am converted!,False,2019-01-06 06:56:00,239,1
143,2/3/2019,5,I am a marmite lover. I have switched back to the glass jar because 1. marmite isn't the right consistency to be squeezed and 2. the glass jar can be recycled.,False,2019-02-03 12:39:00,159,2
144,1/6/2019,5,Great,True,2019-01-06 07:09:00,5,4
145,1/6/2019,5,Thank you,True,2019-01-06 01:24:00,9,4
146,1/6/2019,5,I got this and its be a great buy. Dont have to put much into wash and clean clothes at end of was the fragrance last long time too,True,2019-01-06 11:00:00,133,4
147,2/4/2019,5,"I had been lured by all the enticing fragrances on other conditioners but noticed that my eyes would smart and my kids would ask why I seemed to be squinting my eyes. I'm now back to using Comfort Pure as I used it before with no reactions. Smells good, softens clothes, can't complain!",False,2019-02-04 01:28:00,286,2
148,1/6/2019,5,"Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",False,2019-01-06 21:17:00,196,4
149,1/6/2019,5,"Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",False,2019-01-06 01:28:00,196,2
150,1/6/2019,5,"Gives a good result - the fragrance is very strong though and it lasts a long time. I really like it but if you dont, you wont really be able to still use the product as there is no avoiding it.",False,2019-01-06 07:21:00,196,0
151,1/6/2019,5,Great,True,2019-01-06 07:49:00,5,2
152,1/6/2019,5,Good,True,2019-01-06 16:40:00,4,2
153,1/6/2019,5,We love it and even better when its on a deal,True,2019-01-06 16:43:00,46,2
154,1/7/2019,5,Good size spray,True,2019-01-07 05:13:00,15,4
155,1/6/2019,5,The price of this bulk pack is less than buying the items individually from somewhere else. I won't use any other shampoo because they tend to dry my hair and I don't like using a lot of chemicals. This product is perfect as it contains nothing and keeps me dandruff free. Even anti-dandruff shampoo doesn't always work I've found in the past.,True,2019-01-06 23:32:00,343,2
156,2/5/2019,5,Like to make my own soups & casseroles. This product does very well for that.,True,2019-02-05 07:26:00,77,1
157,1/7/2019,5,Good size spray,True,2019-01-07 14:31:00,15,3
158,1/7/2019,5,The best ice cream ever,False,2019-01-07 06:25:00,23,0
159,1/7/2019,5,I live in an extremely hard water area half the year. As soon as I'm here my hair becomes dry and the scalp sensitive...this is a great shampoo! Both my husband and I are a completely satisfied.,False,2019-01-07 04:08:00,194,1
160,1/8/2019,5,Easy to use. I will recommend it if you want to get all glam up to go out somewhere this is the product to use,True,2019-01-08 21:34:00,110,1
161,1/7/2019,1,Disappointed shows big conditioner but small arrived,True,2019-01-07 07:22:00,52,1
162,1/7/2019,5,We all know how this works,True,2019-01-07 11:12:00,26,2
163,1/7/2019,5,We all know how this works,True,2019-01-07 07:38:00,26,1
164,1/7/2019,3,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True,2019-01-07 03:08:00,113,0
165,1/7/2019,3,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True,2019-01-07 19:09:00,113,3
166,1/7/2019,3,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True,2019-01-07 03:14:00,113,1
167,1/7/2019,3,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True,2019-01-07 20:25:00,113,1
168,1/7/2019,3,Doesnt clean my clothes too well and if there is too many clothes they wont smell good other wise price is good,True,2019-01-07 07:34:00,113,1
169,1/8/2019,5,I would recommend - good value,True,2019-01-08 21:56:00,30,0
170,1/8/2019,5,I will be buying again thank,True,2019-01-08 20:13:00,28,2
171,1/8/2019,5,What more is there to say,True,2019-01-08 15:34:00,25,2
172,1/8/2019,5,Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,True,2019-01-08 10:05:00,171,5
173,1/8/2019,5,As expected - repeat purchase,True,2019-01-08 04:08:00,29,5
174,1/8/2019,5,Excellent value for money,True,2019-01-08 00:28:00,25,4
175,1/11/2019,5,Excellent cleaning. Good value.,True,2019-01-11 23:10:00,31,4
176,1/8/2019,5,Very happy with it,True,2019-01-08 05:26:00,18,1
177,1/8/2019,5,What more is there to say,True,2019-01-08 03:56:00,25,2
178,1/8/2019,5,Excellent value,True,2019-01-08 08:44:00,15,2
179,1/8/2019,5,I would recommend - good value,True,2019-01-08 10:50:00,30,4
180,1/8/2019,5,As expected - repeat purchase,True,2019-01-08 09:51:00,29,1
181,1/8/2019,5,Always been a fan of dove products. Antiperspirant effect lasts longer than any other product I've ever used before. Really gentle on skin and keeps me fresh all day long.,True,2019-01-08 05:44:00,171,3
182,1/8/2019,5,I will be buying again thank,True,2019-01-08 10:06:00,28,1
183,1/8/2019,5,Great Value shampoo,False,2019-01-08 15:29:00,19,2
184,1/8/2019,5,Exactly wat it says on the box but for an amazon deal so less money spent!,True,2019-01-08 21:20:00,74,4
185,1/8/2019,1,Ive both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I dont think large quantity is the issue here. This one from Amazon is very runny as if its been diluted and doesnt smell or soften clothes same. This may be fake Im thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,True,2019-01-08 02:54:00,408,2
186,1/8/2019,5,Amazing offer price. Couldn't resist.,True,2019-01-08 19:23:00,37,2
187,1/8/2019,1,Ive both exact a similar 5 litre one from Costco before which thick and smelt lovely similar to regular sized ones from the supermarkets so I dont think large quantity is the issue here. This one from Amazon is very runny as if its been diluted and doesnt smell or soften clothes same. This may be fake Im thinking. Really curious if bad batch or if amazon is not sourcing genuine product. Very baffled.,True,2019-01-08 18:29:00,408,1
188,1/8/2019,5,Amazing offer price. Couldn't resist.,True,2019-01-08 03:50:00,37,5
189,1/9/2019,1,I have hands that are really dry and bleed due to eczema and this is the only handwash that dosent dry my hands out more and make them bleed.,False,2019-01-09 15:48:00,141,0
190,2/7/2019,5,"No issues, does what it says",True,2019-02-07 07:44:00,28,0
191,2/7/2019,5,Need I say more. Use them all the time for soups and risottos.,True,2019-02-07 22:52:00,62,0
192,2/7/2019,5,I simply love this deodrant. The scent is great - fresh and sporty. I have been using it for 3 weeks now and never had problems. What is more it never leaves white marks on the clothes.,False,2019-02-07 00:11:00,185,0
193,2/7/2019,5,Thicken gravy really well and add a wonderful flavour,False,2019-02-07 01:44:00,53,0
194,1/9/2019,5,Amazing and great price too,True,2019-01-09 02:04:00,27,1
195,1/9/2019,4,"Smells great, easy one handed application",True,2019-01-09 10:41:00,41,3
196,1/9/2019,5,Very good value I would recommend.,True,2019-01-09 02:14:00,34,1
197,1/9/2019,5,Body deodorant we love the smell and great value for money.,False,2019-01-09 03:42:00,59,2
198,1/9/2019,5,The only floor cleaner I use. It smells good and my home feels so refreshed using it,True,2019-01-09 06:12:00,84,2
199,1/11/2019,5,Btilliant buy,True,2019-01-11 05:45:00,13,3
200,1/16/2019,5,Value for money,True,2019-01-16 20:26:00,15,1
201,1/22/2019,5,"All fabric conditioners work more or less the same, but this one smells divine and it lasts too.",True,2019-01-22 11:15:00,96,4
202,1/11/2019,2,Couldn't find any in shops so bought on-line. Thought it was fake branding because it smelled similar but not quite Africa. Poorer product since the new labelling!,False,2019-01-11 10:01:00,163,1
203,1/19/2019,2,"Been using this for a year, very happy. Last 2 cans the nozzles have blocked within a week. Cant clear them with hot water - bit disappointed",False,2019-01-19 07:00:00,141,2
204,1/22/2019,5,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False,2019-01-22 05:23:00,80,2
205,1/22/2019,1,"I have been buying this for years. The contents are good. However, the bottle itself is awful. Three times it has cut right under my fingernails when opening. Also, you can't turn it upside down as it approaches empty due again to the ridiculous design of this bottle.",False,2019-01-22 17:35:00,268,3
206,1/29/2019,5,"Pleasant to use with very little scent, which was what I wanted. These shower gels are brilliant! No nasty chemical smells and super clean design, great for the whole family, young and old. Simple products are skin friendly, meaning no perfumes, no colours. I can honestly say these are the only products that don't leave me with skin irritation. I have very sensitive, problematic skin and am prone to dermatitis. This stuff could be used as a face wash, it's so gentle. [This review was collected as part of a promotion.]",False,2019-01-29 06:01:00,523,4
207,1/22/2019,5,If I die eating one of these I\u2019ll die a very contented man. I love \u2018em,False,2019-01-22 06:59:00,80,4
